Codigo,Marca,Modelo,Posicion,Linea,Aplica_por_anos,Ano_inicial,Ano_fin,Observaciones
38016,ISUZU,PICK UP 4WD,D,Línea Liviana,SI,01-1983,01-1999,
38016,ISUZU,TROOPER / TROOPER II,D,Línea Liviana,SI,01-1987,12-1991,
38016,ISUZU,AMIGO,D,Línea Liviana,SI,01-1989,12-1995,
38016,ISUZU,RODEO 2WD / 4WD,D,Línea Liviana,SI,01-1990,12-1995,
38016,NISSAN,PICK UP 4x2,D,Línea Liviana,SI,01-1987,12-1996,
38016,NISSAN,PICK UP 720,D,Línea Liviana,SI,01-1986,12-1996,
38016,CHEVROLET,LUV PICK UP 4X4,D,Línea Liviana,SI,01-1990,,
38016,MITSUBISHI,PICK UP L200 GLS / GLX,D,Línea Liviana,SI,01-1997,12-2006,
38019,CHEVROLET,CHEVETTE GMC,D,Línea Liviana,SI,01-1979,,
38020,CHEVROLET,CHEVETTE GMC,T,Línea Liviana,SI,01-1979,,
38021,VOLKSWAGEN,SAVEIRO,T,Línea Liviana,SI,01-1991,12-1997,
38022,CHEVROLET,GMC 500 PICK UP,D,Línea Liviana,SI,01-1991,,
38023,CHEVROLET,GMC 500 PICK UP,T,Línea Liviana,SI,01-1991,,
38024,RENAULT,R19,T,Línea Liviana,SI,01-1988,04-1999,
38024,RENAULT,R19 NUEVA TOMA,T,Línea Liviana,SI,05-1999,,
38025,PEUGEOT,405,T,Línea Liviana,SI,01-1991,,
38029,PEUGEOT,205,T,Línea Liviana,SI,01-1983,,
38031,CHEVROLET,KADETT,T,Línea Liviana,SI,01-1986,,
38031,DAEWOO,RACER,T,Línea Liviana,SI,01-1994,,
38031,CHEVROLET,MONZA,T,Línea Liviana,SI,01-1991,,
38032,ISUZU,PICK UP 2WD,D,Línea Liviana,SI,01-1983,01-1999,
38032,CHEVROLET,LUV PICK UP 4X2,D,Línea Liviana,SI,01-1990,,
38032,NISSAN,PICK UP 4X2 / 4X4,D,Línea Liviana,SI,01-1998,,
38033,ISUZU,AMIGO,T,Línea Liviana,SI,01-1989,12-1995,
38033,ISUZU,PICK UP 2WD,T,Línea Liviana,SI,01-1983,01-1999,
38033,ISUZU,PICK UP 4WD,T,Línea Liviana,SI,01-1983,01-1999,
38033,CHEVROLET,LUV PICK UP 4X2,T,Línea Liviana,SI,01-1990,,
38033,CHEVROLET,LUV PICK UP 4X4,T,Línea Liviana,SI,01-1990,,
38033,MITSUBISHI,PICK UP L200 GLS / GLX,T,Línea Liviana,SI,01-1997,12-2006,
38033,NISSAN,PATHFINDER,T,Línea Liviana,SI,01-1987,12-1994,
38036,CHEVROLET,VECTRA 1.4/1.6/1.7TD/2.0i,T,Línea Liviana,SI,01-1988,12-1995,
38036,CHEVROLET,ASTRA,T,Línea Liviana,SI,01-1994,12-1997,
38036,DAEWOO,ESPERO / LANOS,T,Línea Liviana,SI,01-1992,,
38037,RENAULT,EXPRESS (97/..),T,Línea Liviana,SI,01-1997,,
38037,RENAULT,EXPRESS,T,Línea Liviana,SI,01-1995,12-1996,
38038,FIAT,FIORINO UNO (RST) (cierre desarmable),T,Línea Liviana,SI,01-1994,,
38038,FIAT,FIORINO UNO RST (estructura sellada),T,Línea Liviana,SI,01-1994,,
38039,RENAULT,CLIO NUEVA TOMA (99/..),T,Línea Liviana,SI,05-1999,,
38039,RENAULT,CLIO 1.4/1.6/1.8/1.9D,T,Línea Liviana,SI,01-1995,04-1999,
38039,RENAULT,CLIO 1.4RT / 1.8RSI / 1.9D - IMPORTADOS,T,Línea Liviana,SI,01-1990,,
