Codigo,TipoProducto,PaisOrigen,Linea,Toma,Observacion,Descripcion,Activo
38016,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
38019,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38020,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38021,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,E/O ,,,SI
38022,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38023,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38024,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38025,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38029,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38031,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38032,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
38033,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
38036,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38037,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38038,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
38039,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
38040,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
38041,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
38222,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38043,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38044,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38045,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
94176,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94207,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94181,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
94170 D,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
38101,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38103,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38105,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38113,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38114,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38119,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38120,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38201,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
38203,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
38204,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38205,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,Tope y fuelle incluido,,SI
38209,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
38817,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,E/O ,,,SI
38834,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/E ,,,NO
94206,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
38846,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38847,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38848,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38856,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38857,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/T ,,,SI
38880,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/E ,,,NO
38884,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38903,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/E ,,,SI
38939,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38951,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38993,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
40001,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
40002,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
40003,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
40004,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
40005,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
42115,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
42140,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/E ,,,SI
