Codigo,Codigo_caracteristica,Descripcion_caracteristica,Valor,Linea,Toma,Observacion,Descripcion,Activo
38016,TASU,Toma de Anclaje Superior,0.0,,,,,
38016,DIMC,Dimensional Cerrado,228.0,,,,,
38016,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38016,DIMR,Dimensional Carrera,129.0,,,,,
38016,DIMA,Dimensional Abierto,357.0,,,,,
38019,TASU,Toma de Anclaje Superior,0.0,,,,,
38019,DIMC,Dimensional Cerrado,240.0,,,,,
38019,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38019,DIMR,Dimensional Carrera,136.0,,,,,
38019,DIMA,Dimensional Abierto,376.0,,,,,
38020,TASU,Toma de Anclaje Superior,0.0,,,,,
38020,DIMC,Dimensional Cerrado,351.0,,,,,
38020,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38020,DIMR,Dimensional Carrera,244.0,,,,,
38020,DIMA,Dimensional Abierto,595.0,,,,,
38021,TASU,Toma de Anclaje Superior,0.0,,,,,
38021,DIMC,Dimensional Cerrado,458.0,,,,,
38021,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38021,DIMR,Dimensional Carrera,212.0,,,,,
38021,DIMA,Dimensional Abierto,670.0,,,,,
38021,27,Incluye Tope y Fuelle,,,,,,
38022,TASU,Toma de Anclaje Superior,0.0,,,,,
38022,DIMC,Dimensional Cerrado,240.0,,,,,
38022,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38022,DIMR,Dimensional Carrera,148.0,,,,,
38022,DIMA,Dimensional Abierto,388.0,,,,,
38023,TASU,Toma de Anclaje Superior,0.0,,,,,
38023,DIMC,Dimensional Cerrado,284.0,,,,,
38023,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38023,DIMR,Dimensional Carrera,185.0,,,,,
38023,DIMA,Dimensional Abierto,469.0,,,,,
38024,TASU,Toma de Anclaje Superior,0.0,,,,,
38024,DIMC,Dimensional Cerrado,396.0,,,,,
38024,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38024,DIMR,Dimensional Carrera,136.0,,,,,
38024,DIMA,Dimensional Abierto,531.0,,,,,
38025,TASU,Toma de Anclaje Superior,0.0,,,,,
38025,DIMC,Dimensional Cerrado,273.0,,,,,
38025,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38025,DIMR,Dimensional Carrera,99.0,,,,,
38025,DIMA,Dimensional Abierto,372.0,,,,,
38029,TASU,Toma de Anclaje Superior,0.0,,,,,
38029,DIMC,Dimensional Cerrado,245.0,,,,,
38029,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38029,DIMR,Dimensional Carrera,81.0,,,,,
38029,DIMA,Dimensional Abierto,326.0,,,,,
38031,TASU,Toma de Anclaje Superior,0.0,,,,,
38031,DIMC,Dimensional Cerrado,344.0,,,,,
38031,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38031,DIMR,Dimensional Carrera,243.0,,,,,
38031,DIMA,Dimensional Abierto,587.0,,,,,
38032,TASU,Toma de Anclaje Superior,0.0,,,,,
38032,DIMC,Dimensional Cerrado,212.0,,,,,
38032,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38032,DIMR,Dimensional Carrera,111.0,,,,,
38032,DIMA,Dimensional Abierto,323.0,,,,,
38033,TASU,Toma de Anclaje Superior,0.0,,,,,
38033,DIMC,Dimensional Cerrado,355.0,,,,,
38033,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38033,DIMR,Dimensional Carrera,240.0,,,,,
38033,DIMA,Dimensional Abierto,595.0,,,,,
38036,TASU,Toma de Anclaje Superior,0.0,,,,,
38036,DIMC,Dimensional Cerrado,331.0,,,,,
38036,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38036,DIMR,Dimensional Carrera,231.0,,,,,
38036,DIMA,Dimensional Abierto,562.0,,,,,
38037,TASU,Toma de Anclaje Superior,0.0,,,,,
38037,DIMC,Dimensional Cerrado,326.0,,,,,
38037,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38037,DIMR,Dimensional Carrera,60.0,,,,,
38037,DIMA,Dimensional Abierto,386.0,,,,,
38038,TASU,Toma de Anclaje Superior,0.0,,,,,
38038,DIMC,Dimensional Cerrado,243.0,,,,,
38038,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38038,DIMR,Dimensional Carrera,157.0,,,,,
38038,DIMA,Dimensional Abierto,400.0,,,,,
38039,TASU,Toma de Anclaje Superior,0.0,,,,,
38039,DIMC,Dimensional Cerrado,311.0,,,,,
38039,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38039,DIMR,Dimensional Carrera,74.0,,,,,
38039,DIMA,Dimensional Abierto,385.0,,,,,
38040,TASU,Toma de Anclaje Superior,0.0,,,,,
38040,DIMC,Dimensional Cerrado,325.0,,,,,
38040,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38040,DIMR,Dimensional Carrera,115.0,,,,,
38040,DIMA,Dimensional Abierto,440.0,,,,,
38041,TASU,Toma de Anclaje Superior,0.0,,,,,
38041,DIMC,Dimensional Cerrado,245.0,,,,,
38041,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38041,DIMR,Dimensional Carrera,81.0,,,,,
38041,DIMA,Dimensional Abierto,326.0,,,,,
38222,DIMA,Dimensional Abierto,497.0,,,,,
38222,DIMC,Dimensional Cerrado,335.0,,,,,
38222,DIMR,Dimensional Carrera,162.0,,,,,
38222,TAIN,Toma de Anclaje Inferior,,,,,,
38222,TASU,Toma de Anclaje Superior,,,,,,
38043,TASU,Toma de Anclaje Superior,0.0,,,,,
38043,DIMC,Dimensional Cerrado,335.0,,,,,
38043,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38043,DIMR,Dimensional Carrera,222.0,,,,,
38043,DIMA,Dimensional Abierto,557.0,,,,,
38044,TASU,Toma de Anclaje Superior,0.0,,,,,
38044,DIMC,Dimensional Cerrado,325.0,,,,,
38044,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38044,DIMR,Dimensional Carrera,215.0,,,,,
38044,DIMA,Dimensional Abierto,540.0,,,,,
38045,TASU,Toma de Anclaje Superior,0.0,,,,,
38045,DIMC,Dimensional Cerrado,215.0,,,,,
38045,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38045,DIMR,Dimensional Carrera,81.0,,,,,
38045,DIMA,Dimensional Abierto,296.0,,,,,
94176,DIMA,Dimensional Abierto,545.0,,,,,
94176,DIMC,Dimensional Cerrado,369.0,,,,,
94176,DIMR,Dimensional Carrera,176.0,,,,,
94176,TASU,Toma de Anclaje Superior,,,,,,
94207,DIMA,Dimensional Abierto,520.0,,,,,
94207,DIMC,Dimensional Cerrado,332.0,,,,,
94207,DIMR,Dimensional Carrera,188.0,,,,,
94207,TASU,Toma de Anclaje Superior,,,,,,
94181,DIMA,Dimensional Abierto,573.0,,,,,
