Marca,Modelo,Linea,Producto,Modelo_2,Num_parte,Posicion,Desde,Hasta,Link
TOYOTA,4 RUNNER,RS 5000,Amortiguadores,ESTAB. DIRECCION 4 RUNNER 2WD / 4WD,RS5402,DELANTERO,1986-01,1993-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/457/p/monroe
TOYOTA,4 RUNNER,RS 5000,Amortiguadores,4 RUNNER / SW4,RS5187,TRASERO,1990-01,1995-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/934/p/monroe
TOYOTA,4 RUNNER,RS9000XL,Amortiguadores,4 RUNNER / SW4,RS999145,DELANTERO,1990-01,1995-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/65628/p/monroe
TOYOTA,4 RUNNER,RS9000XL,Amortiguadores,4 RUNNER / SW4,RS999187,TRASERO,1990-01,1995-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/65642/p/monroe
TOYOTA,4 RUNNER,Monroe Internacional,Amortiguadores,4 RUNNER / SW4,59651MI,TRASERO,1990-01,1995-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/67738/p/monroe
TOYOTA,4 RUNNER,Monroe Internacional,Amortiguadores,4 RUNNER / SW4,59650MI,DELANTERO,1990-01,1995-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/67737/p/monroe
TOYOTA,4 RUNNER,Fuelles y Topes,Componentes de suspensión,4 RUNNER / SW4,143221,TRASERO,1990-01,1995-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66846/p/monroe
TOYOTA,4 RUNNER,Fuelle para amortiguadores Rancho,Componentes de suspensión,Fuelle para amortiguadores Rancho,Fuelle para amortiguadores Rancho,Fuelle para amortiguadores Rancho,NA,NA,http://www.fricrot.com.ar
TOYOTA,4 RUNNER,Bujes y Accesorios,Componentes de suspensión,4 RUNNER / SW4,RS979,TRASERO,1990-01,1995-12,http://www.fricrot.com.ar
TOYOTA,4 RUNNER,Bujes de uretano Rancho,Componentes de suspensión,Bujes de uretano Rancho,Bujes de uretano Rancho,Bujes de uretano Rancho,NA,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/66602/p/monroe
TOYOTA,4 RUNNER,Bujes y Accesorios,Componentes de suspensión,4 RUNNER / SW4,RS984,TRASERO,1990-01,1995-12,http://www.fricrot.com.ar
TOYOTA,4 RUNNER,Bujes de uretano Rancho,Componentes de suspensión,Bujes de uretano Rancho,Bujes de uretano Rancho,Bujes de uretano Rancho,NA,NA,http://www.fricrot.com.ar
TOYOTA,4 RUNNER,Bujes de uretano Rancho,Componentes de suspensión,Bujes de uretano Rancho,Bujes de uretano Rancho,Bujes de uretano Rancho,NA,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/66625/p/monroe
CHEVROLET,400,Monroe Internacional,Amortiguadores,400/SUPER/SUPER SPORT/RALLY SPORT,59011MI,DELANTERO,1962-01,1978-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/67680/p/monroe
CHEVROLET,400,Monroe Internacional,Amortiguadores,400/SUPER/SUPER SPORT/RALLY SPORT,59012MI,TRASERO,1962-01,1978-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/67681/p/monroe
PEUGEOT,403,Max Reforzado,Amortiguadores,403,59069,TRASERO,1960-01,1964-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/1181
PEUGEOT,403,Fric Rot Max,Amortiguadores,403,42140,TRASERO,1960-01,1964-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/1180
PEUGEOT,403,Monroe Internacional,Amortiguadores,403,59069MI,TRASERO,1960-01,1964-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66230/p/monroe
PEUGEOT,404,Max Reforzado,Amortiguadores,404 SEDAN,59069,TRASERO,1963-01,1982-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/1187
PEUGEOT,404,Fric Rot Max,Amortiguadores,404 SEDAN,42140,TRASERO,1963-01,1982-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/1186
PEUGEOT,404,Monroe Internacional,Amortiguadores,404 SEDAN,40005MI,DELANTERO,1963-01,1982-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66069/p/monroe
PEUGEOT,404,Monroe Internacional,Amortiguadores,404 SEDAN,59069MI,TRASERO,1963-01,1982-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66232/p/monroe
PEUGEOT,404,Monroe Internacional,Amortiguadores,404 PICK UP,40005MI,DELANTERO,1973-01,1982-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66068/p/monroe
PEUGEOT,405,Monroe Internacional,Amortiguadores,405,38025MI,TRASERO,1991-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/65992/p/monroe
PEUGEOT,405,Monroe Internacional,Amortiguadores,405,44424MI,DELANTERO,1991-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/66161/p/monroe
PEUGEOT,406,Original,Amortiguadores,406 (no susp.electrónica),11754,Delantero Izquierdo,1995-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69943/p/monroe
PEUGEOT,406,Original,Amortiguadores,406 (no susp.electrónica),11753,Delantero Derecho,1995-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69985/p/monroe
PEUGEOT,406,Original,Amortiguadores,406 (no susp.electrónica),R6652,TRASERO,1995-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/70009/p/monroe
RENAULT,R4,Monroe Internacional,Amortiguadores,4 L / S,38880MI,TRASERO,1969-01,1986-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66047/p/monroe
RENAULT,R4,Monroe Internacional,Amortiguadores,4 L / S,42255MI,DELANTERO,1969-01,1986-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66074/p/monroe
PEUGEOT,504,Max Reforzado,Amortiguadores,504 GLD/GLS/GR/GRD/SL,59069,TRASERO,1969-01,1983-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/1228
PEUGEOT,504,Fric Rot Max,Amortiguadores,504 GLD/GLS/GR/GRD/SL,42140,TRASERO,1969-01,1983-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/1212
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 GLD/GLS/GR/GRD/SL,40005MI,DELANTERO,1969-01,1983-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66070/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 GLD/GLS/GR/GRD/SL,59069MI,TRASERO,1969-01,1983-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66242/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 PICK UP (HASTA UNIDAD 1519),44107MI,DELANTERO,1981-01,1986-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66118/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 PICK UP (HASTA UNIDAD 1519),59043MI,TRASERO,1981-01,1986-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/67074/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 BREAK,44102MI,DELANTERO,1981-01,1983-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66109/p/monroe
PEUGEOT,504,Max Reforzado,Amortiguadores,504 GR/GRII/GRD,59069,TRASERO,1983-01,1986-01,http://www.fricrot.com.ar/e-catalog/parte/codigo/66914
PEUGEOT,504,Fric Rot Max,Amortiguadores,504 GR/GRII/GRD,42140,TRASERO,1983-01,1986-01,http://www.fricrot.com.ar/e-catalog/parte/codigo/66913
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 PICK UP DIESEL (HASTA UNIDAD 394),59043MI,TRASERO,1983-01,1986-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66420/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 PICK UP DIESEL (HASTA UNIDAD 394),40003MI,DELANTERO,1983-01,1986-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66066/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 GR/GRII/GRD,59069MI,TRASERO,1983-01,1986-01,http://www.fricrot.com.ar/e-catalog/parte/codigo/66915/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 GR/GRII/GRD,44102MI,DELANTERO,1983-01,1986-01,http://www.fricrot.com.ar/e-catalog/parte/codigo/66107/p/monroe
PEUGEOT,504,Max Reforzado,Amortiguadores,504 SRD/SRD II / XSD / GRD / GRII,59069,TRASERO,1986-02,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/2008
PEUGEOT,504,Fric Rot Max,Amortiguadores,504 SRD/SRD II / XSD / GRD / GRII,42140,TRASERO,1986-02,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/2005
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 PICK UP DIESEL (DESDE UNIDAD 395),40004MI,DELANTERO,1986-01,1988-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66067/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 PICK UP DIESEL (DESDE UNIDAD 395),59043MI,TRASERO,1986-01,1988-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/67075/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 SRD/SRD II / XSD / GRD / GRII,59069MI,TRASERO,1986-02,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66245/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 SRD/SRD II / XSD / GRD / GRII,44110MI,DELANTERO,1986-02,1987-12,http://www.fricrot.com.ar/e-catalog/parte/codigo/66415/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 PICK UP (DESDE UNIDAD 1520),59043MI,TRASERO,1986-12,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/67081/p/monroe
PEUGEOT,504,Max Reforzado,Amortiguadores,504 SR / SRII / SRX / XS,59069,TRASERO,1988-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/17792
PEUGEOT,504,Fric Rot Max,Amortiguadores,504 SR / SRII / SRX / XS,42140,TRASERO,1988-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/2140
PEUGEOT,504,Fric Rot Max,Amortiguadores,504 SR / SRII / SRX / XS,44115,DELANTERO,1988-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/2145
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 SR / SRII / SRX / XS,59069MI,TRASERO,1988-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/66248/p/monroe
PEUGEOT,504,Monroe Internacional,Amortiguadores,504 SR / SRII / SRX / XS,44115MI,DELANTERO,1988-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/66133/p/monroe
PEUGEOT,504,Cazoletas,Componentes de suspensión,504 SR / SRII / SRX / XS,022.1555,DELANTERO,1988-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/65700/p/monroe
